"id_documento","folio","op_control"
"9629","1120-2022","1251-2022"
"9630","1121-2022","1252-2022"
"9633","1122-2022","1253-2022"
"9634","1123-2022","1254-2022"
"9635","1124-2022","1255-2022"
"9636","1125-2022","1256-2022"
"9637","1126-2022","1257-2022"
"9638","1127-2022","1258-2022"
"9639","1128-2022","1259-2022"
"9640","1129-2022","1260-2022"
"9641","1130-2022","1261-2022"
"9642","1131-2022","1262-2022"
"9643","1132-2022","1263-2022"
"9644","1133-2022","1264-2022"
"9645","1134-2022","1265-2022"
"9646","1135-2022","1266-2022"
"9648","1136-2022","1267-2022"
"9649","1137-2022","1268-2022"
"9650","1138-2022","1269-2022"
"9651","1139-2022","1270-2022"
"9652","1140-2022","1271-2022"
"9653","1141-2022","1272-2022"
"9654","1142-2022","1273-2022"
"9655","1143-2022","1274-2022"
"9656","1144-2022","1275-2022"
"9657","1145-2022","1276-2022"
"9658","1146-2022","1277-2022"
"9659","1147-2022","1278-2022"
"9660","1148-2022","1279-2022"
"9661","1150-2022","1280-2022"
"9662","1151-2022","1281-2022"
"9663","1152-2022","1282-2022"
"9664","1153-2022","1283-2022"
"9669","1154-2022","1284-2022"
"9673","1155-2022","1285-2022"
"9674","1156-2022","1286-2022"
"9675","1149-2022","1287-2022"
"9680","1158-2022","1289-2022"
"9684","1159-2022","1290-2022"
"9685","1161-2022","1291-2022"
"9687","1160-2022","1292-2022"
"9688","1162-2022","1293-2022"
"9690","DGRDC-0028-2022","0028-2022"
"9692","1163-2022","1294-2022"
"9693","1164-2022","1295-2022"
"9704",NULL,"1296-2022"
"9708","1166-2022","1298-2022"
"9710","1167-2022","1299-2022"
"9713","1168-2022","1300-2022"
"9714","1169-2022","1301-2022"
"9718","1171-2022","1303-2022"
"9724","1172-2022","1304-2022"
"9725","1173-2022","1305-2022"
"9738","1174-2022","1306-2022"
"9741",NULL,"1307-2022"
"9742","1176-2022","1308-2022"
"9745","1175-2022","1309-2022"
"9746","1177-2022","1310-2022"
"9748",NULL,"1311-2022"
"9750","1181-2022","1312-2022"
"9751","1180-2022","1313-2022"
"9752","1179-2022","1314-2022"
"9753","1178-2022","1315-2022"
"9759","1182-2022","1316-2022"
"9760","1183-2022","1317-2022"
"9761","1184-2022","1318-2022"
"9773","1190-2022","1324-2022"
"9774","1191-2022","1325-2022"
"9776","1192-2022","1326-2022"
"9777","1193-2022","1327-2022"
"9779","1194-2022","1328-2022"
"9782","1195-2022","1329-2022"
"9785","DGRDC-0029-2022","0029-2022"
"9787","1196-2022","1330-2022"
"9788","1197-2022","1331-2022"
"9789","1198-2022","1332-2022"
"9790","1199-2022","1333-2022"
"9797","1200-2022","1334-2022"
"9802",NULL,"1335-2022"
"9804","1201-2022","1336-2022"
"9805","1202-2022","1337-2022"
"9820","1203-2022","1338-2022"
"9821","1205-2022","1339-2022"
"9825","1204-2022","1340-2022"
"9827","1206-2022","1341-2022"
"9841","1207-2022","1342-2022"
"9842","1212-2022","1343-2022"
"9843","1208-2022","1344-2022"
"9844","1209-2022","1345-2022"
"9845","1210-2022","1346-2022"
"9846","1211-2022","1347-2022"
"9849","1213-2022","1348-2022"
"9859","1218-2022","1349-2022"
"9861","1214-2022","1350-2022"
"9866",NULL,"1351-2022"
"9869","1215-2022","1352-2022"
"9870","1216-2022","1353-2022"
"9872","1217-2022","1354-2022"
"9875","1220-2022","1355-2022"
"9876","1221-2022","1356-2022"
"9877","1222-2022","1357-2022"
"9878","1223-2022","1358-2022"
"9886","1224-2022","1359-2022"
"9921","1225-2022","1360-2022"
"9922","1226-2022","1361-2022"
"9923","DGRDC-0030-2022","0030-2022"
"9927","1227-2022","1362-2022"
"9930","1239-2022","1363-2022"
"9932","1228-2022","1364-2022"
"9933","1229-2022","1365-2022"
"9934","1230-2022","1366-2022"
"9935","1231-2022","1367-2022"
"9936","1232-2022","1368-2022"
"9938","1233-2022","1369-2022"
"9944","1234-2022","1370-2022"
"9945","1235-2022","1371-2022"
"9946","DGAR-1350-2022","2165-2022"
"9947","1236-2022","1372-2022"
"9948","1237-2022","1373-2022"
"9949","1238-2022","1374-2022"
"9950","1240-2022","1375-2022"
"9951","1241-2022","1376-2022"
"9952","1243-2022","1377-2022"
"9954","1244-2022","1378-2022"
"9955","1242-2022","1379-2022"
"9956","1246-2022","1380-2022"
"9958","1245-2022","1381-2022"
"9961","1247-2022","1382-2022"
"9962","1248-2022","1383-2022"
"9963","1249-2022","1384-2022"
"9966","1250-2022","1385-2022"
"9969","1251-2022","1386-2022"
"9970","1256-2022","1387-2022"
"9971",NULL,"1388-2022"
"9972",NULL,"1389-2022"
"9973","1252-2022","1390-2022"
"9976","1253-2022","1391-2022"
"9977","1254-2022","1392-2022"
"9978","1255-2022","1393-2022"
"9979","1257-2022","1394-2022"
"9982","1258-2022","1395-2022"
"9983","1259-2022","1396-2022"
"9984","1260-2022","1397-2022"
"9985","1261-2022","1398-2022"
"9986","1268-2022","1399-2022"
"9989","1262-2022","1400-2022"
"9990","1263-2022","1401-2022"
"9991","1264-2022","1402-2022"
"9992","1265-2022","1403-2022"
"9994","1266-2022","1404-2022"
"9998","1267-2022","1405-2022"
"9999","1271-2022","1406-2022"
"10000","1269-2022","1407-2022"
"10002","1270-2022","1408-2022"
"10010","1272-2022","1409-2022"
"10016",NULL,"0031-2022"
"10017","1273-2022","1410-2022"
"10027","1302-2022","1411-2022"
"10028","1274-2022","1412-2022"
"10029","1275-2022","1413-2022"
"10030","1276-2022","1414-2022"
"10031","1277-2022","1415-2022"
"10033",NULL,"1416-2022"
"10035",NULL,"1417-2022"
"10037","1280-2022","1418-2022"
"10039","1281-2022","1419-2022"
"10041","1284-2022","1420-2022"
"10042","1288-2022","1421-2022"
"10043","1285-2022","1422-2022"
"10130","1278-2022","1416"
"10138","1279-2022","1417"
