id_documento,folio,id_direccion,Observaciones,,,,,,,,,,
9246,0974-2022,16,,,,,,,,,,,
9247,0975-2022,13,,,,,,,,,,,
9248,0976-2022,13,,,,,,,,,,,
9249,0977-2022,13,,,,,,,,,,,
9250,0978-2022,13,,,,,,,,,,,
9263,0979-2022,13,,,,,,,,,,,
9266,0980-2022,16,,,,,,,,,,,
9269,0981-2022,13,,,,,,,,,,,
9270,0982-2022,16,,,,,,,,,,,
9287,0983-2022,10,,,,,,,,,,,
9288,0984-2022,10,,0985-2022,15,,,,,,,,
9289,DGRDC-0023-2022,,,,,,,,,,,,
9292,0986-2022,16,,0987-2022,16,,,,,,,,
9305,0990-2022,16,,,,,,,,,,,
9306,0991-2022,11,,,,,,,,,,,
9307,0989-2022,13,,,,,,,,,,,
9308,0988-2022,13,,,,,,,,,,,
9319,0993-2022,13,,,,,,,,,,,
9320,0994-2022,11,,,,,,,,,,,
9326,0992-2022,16,,,,,,,,,,,
9329,0995-2022,16,,,,,,,,,,,
9332,0996-2022,13,,,,,,,,,,,
9335,0997-2022,8,,,,,,,,,,,
9336,0998-2022,16,,,,,,,,,,,
9337,0999-2022,13,,,,,,,,,,,
9343,1000-2022,13,,,,,,,,,,,
9349,1001-2022,13,,,,,,,,,,,
9350,1002-2022,13,,,,,,,,,,,
9351,1003-2022,16,,,,,,,,,,,
9356,1004-2022,13,,,,,,,,,,,
9357,1005-2022,16,,,,,,,,,,,
9358,1006-2022,13,,,,,,,,,,,
9359,1008-2022,13,,,,,,,,,,,
9360,1007-2022,13,,,,,,,,,,,
9381,1009-2022,16,,,,,,,,,,,
9382,1010-2022,50,,,,,,,,,,,
9383,1011-2022,8,,,,,,,,,,,
9384,NULL,,,,,,,,,,,,
9385,1012-2022,13,,,,,,,,,,,
9386,1013-2022,11,,,,,,,,,,,
9387,1015-2022,16,,,,,,,,,,,
9388,1016-2022,16,,,,,,,,,,,
9390,1014-2022,8,,,,,,,,,,,
9393,1017-2022,13,,,,,,,,,,,
9395,1018-2022,16,,,,,,,,,,,
9396,1020-2022,13,,,,,,,,,,,
9398,1021-2022,13,,,,,,,,,,,
9399,1019-2022,10,,,,,,,,,,,
9401,1022-2022,13,,,,,,,,,,,
9413,1023-2022,13,,,,,,,,,,,
9414,1024-2022,13,,1025-2022,10,,,,,,,,
9433,1026-2022,15,,,,,,,,,,,
9435,1027-2022,13,,,,,,,,,,,
9436,1028-2022,13,,1029-2022,10,,,,,,,,
9437,1030-2022,13,,,,,,,,,,,
9448,1031-2022,13,,,,,,,,,,,
9449,1032-2022,50,,,,,,,,,,,
9450,1033-2022,50,,,,,,,,,,,
9451,1034-2022,50,,,,,,,,,,,
9452,1035-2022,11,,,,,,,,,,,
9453,1036-2022,11,,,,,,,,,,,
9454,1038-2022,13,,,,,,,,,,,
9455,1037-2022,13,,,,,,,,,,,
9466,1039-2022,16,,,,,,,,,,,
9467,1040-2022,13,,,,,,,,,,,
9468,1041-2022,16,,,,,,,,,,,
9472,1042-2022,10,,,,,,,,,,,
9473,1043-2022,13,,,,,,,,,,,
9474,1044-2022,13,,,,,,,,,,,
9475,1045-2022,13,,,,,,,,,,,
9479,1046-2022,10,,,,,,,,,,,
9482,1047-2022,10,,,,,,,,,,,
9486,1050-2022,8,,,,,,,,,,,
9487,1052-2022,13,,,,,,,,,,,
9488,1053-2022,10,,,,,,,,,,,
9491,1054-2022,13,,,,,,,,,,,
9492,1048-2022,8,,,,,,,,,,,
9493,1049-2022,8,,,,,,,,,,,
9494,1051-2022,8,,,,,,,,,,,
9498,1055-2022,16,,,,,,,,,,,
9499,1056-2022,10,,,,,,,,,,,
9500,1057-2022,13,,,,,,,,,,,
9501,1058-2022,11,,,,,,,,,,,
9502,1059-2022,13,,,,,,,,,,,
9504,1060-2022,13,,,,,,,,,,,
9505,1061-2022,8,,,,,,,,,,,
9508,1063-2022,9,,1064-2022,10,,,,,,,,
9509,1062-2022,13,,,,,,,,,,,
9510,1065-2022,13,,,,,,,,,,,
9512,1066-2022,13,,,,,,,,,,,
9513,1067-2022,13,,,,,,,,,,,
9518,1068-2022,13,,,,,,,,,,,
9519,1069-2022,13,,,,,,,,,,,
9520,1070-2022,13,,,,,,,,,,,
9521,1071-2022,13,,,,,,,,,,,
9522,1072-2022,13,,,,,,,,,,,
9523,1073-2022,13,,,,,,,,,,,
9524,1074-2022,13,,,,,,,,,,,
9525,1075-2022,13,,,,,,,,,,,
9526,1076-2022,13,,,,,,,,,,,
9527,1077-2022,13,,,,,,,,,,,
9528,1078-2022,13,,,,,,,,,,,
9529,1079-2022,13,,,,,,,,,,,
9530,1080-2022,13,,,,,,,,,,,
9531,1081-2022,13,,,,,,,,,,,
9532,1082-2022,13,,,,,,,,,,,
9533,1083-2022,13,,,,,,,,,,,
9534,1084-2022,13,,,,,,,,,,,
9535,1085-2022,13,,,,,,,,,,,
9536,1086-2022,13,,,,,,,,,,,
9537,1087-2022,13,,,,,,,,,,,
9538,1088-2022,13,,,,,,,,,,,
9539,1089-2022,13,,,,,,,,,,,
9540,1090-2022,13,,,,,,,,,,,
9541,1091-2022,13,,,,,,,,,,,
9542,1092-2022,13,,,,,,,,,,,
9543,1093-2022,13,,,,,,,,,,,
9544,1094-2022,13,,,,,,,,,,,
9545,1095-2022,13,,,,,,,,,,,
9546,1096-2022,13,,,,,,,,,,,
9547,1097-2022,13,,,,,,,,,,,
9548,1098-2022,13,,,,,,,,,,,
9549,1099-2022,10,,,,,,,,,,,
9550,1100-2022,13,,,,,,,,,,,
9551,1101-2022,13,,,,,,,,,,,
9554,1102-2022,9,,,,,,,,,,,
9558,NULL,,,,,,,,,,,,
9559,1103-2022,13,,,,,,,,,,,
9560,1111-2022,9,,,,,,,,,,,
9561,1104-2022,8,,,,,,,,,,,
9574,1105-2022,13,,1106-2022,10,,,,,,,,
9575,1107-2022,13,,,,,,,,,,,
9576,1108-2022,13,,,,,,,,,,,
9577,1109-2022,13,,,,,,,,,,,
9599,1110-2022,13,,,,,,,,,,,
9602,1112-2022,9,,,,,,,,,,,
9608,1114-2022,13,,,,,,,,,,,
9610,1115-2022,11,,,,,,,,,,,
9619,1116-2022,10,,,,,,,,,,,
9620,1117-2022,13,,,,,,,,,,,
9621,1118-2022,8,,,,,,,,,,,
9622,1119-2022,9,,,,,,,,,,,
9624,DGRDC-0025-2022,,,,,,,,,,,,
9625,DGRDC-0026-2022,,,,,,,,,,,,
9626,DGRDC-0027-2022,,,,,,,,,,,,
9629,1120-2022,10,,,,,,,,,,,
9630,1121-2022,10,,,,,,,,,,,
9633,1122-2022,13,,,,,,,,,,,
9634,1123-2022,8,,,,,,,,,,,
9635,1124-2022,13,,,,,,,,,,,
9636,1125-2022,13,,,,,,,,,,,
9637,1126-2022,13,,,,,,,,,,,
9638,1127-2022,13,,,,,,,,,,,
9639,1128-2022,13,,,,,,,,,,,
9640,1129-2022,13,,,,,,,,,,,
9641,1130-2022,13,,,,,,,,,,,
9642,1131-2022,13,,,,,,,,,,,
9643,1132-2022,13,,,,,,,,,,,
9644,1133-2022,13,,,,,,,,,,,
9645,1134-2022,13,,,,,,,,,,,
9646,1135-2022,13,,,,,,,,,,,
9648,1136-2022,13,,,,,,,,,,,
9649,1137-2022,13,,,,,,,,,,,
9650,1138-2022,13,,,,,,,,,,,
9651,1139-2022,13,,,,,,,,,,,
9652,1140-2022,13,,,,,,,,,,,
9653,1141-2022,13,,,,,,,,,,,
9654,1142-2022,13,,,,,,,,,,,
9655,1143-2022,13,,,,,,,,,,,
9656,1144-2022,13,,,,,,,,,,,
9657,1145-2022,13,,,,,,,,,,,
9658,1146-2022,13,,,,,,,,,,,
9659,1147-2022,13,,,,,,,,,,,
