"CCT","longitud","latitud","tipo","gob","nombre","alcaldia","cp"
"09DPR2645S","-99.060725","19.41424722","Primaria","Federal","Jose Lopez Portillo Y Rojas","Iztacalco","8100"
"09DPR2646R","-99.06817222","19.34065278","Primaria","Federal","Maestro Domingo Tirado Benedi","Iztapalapa","9830"
"09DPR2647Q","-99.16689722","19.52720556","Primaria","Federal","Profr. Calixto Antonio Rodriguez Flores","Gustavo A. Madero","7630"
"09DPR2648P","-99.06871389","19.48009444","Primaria","Federal","Profr. Carlos Fuentes Martinez","Gustavo A. Madero","7550"
"09DPR2649O","-98.99713056","19.36394722","Primaria","Federal","Nicolas Garcia de San Vicente","Iztapalapa","9180"
"09DPR2650D","-98.99713056","19.36394722","Primaria","Federal","Nicolas Garcia de San Vicente","Iztapalapa","9180"
"09DPR2651C","-99.09391944","19.35850278","Primaria","Federal","Republica de Guatemala","Iztapalapa","9000"
"09DPR2652B","-99.09093333","19.48466111","Primaria","Federal","Anastasio Gaona Duran","Gustavo A. Madero","7420"
"09DPR2653A","-99.01266111","19.34535833","Primaria","Federal","Jose Ortega Y Gasset","Iztapalapa","9600"
"09DPR2655Z","-99.07363056","19.24300278","Primaria","Federal","Tlamachihuapan","Xochimilco","16500"
"09DPR2657X","-99.01508056","19.29478333","Primaria","Federal","Plan de Ayala","Tláhuac","13400"
"09DPR2658W","-99.32628889","19.33090278","Primaria","Federal","Gral. Santos Degollado","Cuajimalpa de Morelos","5410"
"09DPR2659V","-99.06074444","19.47200556","Primaria","Federal","Profr. Roberto Oropeza Najera","Gustavo A. Madero","7500"
"09DPR2660K","-99.31610556","19.35353333","Primaria","Federal","Valerio Trujano","Cuajimalpa de Morelos","5050"
"09DPR2662I","-99.13898056","19.53305833","Primaria","Federal","Vicente Lombardo Toledano","Gustavo A. Madero","7250"
"09DPR2663H","-99.148325","19.52493889","Primaria","Federal","Dr. Salvador Allende","Gustavo A. Madero","7279"
